experiment,city,source_city,target_city,model,model_type,seed,split_type,feature_set,target_scaling,rmse,mae,nrmse,r2,notes
same_city,Amherst,Amherst,,mlp,neural_network,2026,chronological_80_20,primary,none,20.69511801769328,14.551696760443424,0.1626974686925572,0.7116976077713695,
same_city,Davis,Davis,,ridge_tuned,classical,42,chronological_80_20,primary,none,16.899488409542517,9.983769659179297,0.0668532088911229,0.9414319561990858,alpha=10.0
same_city,Davis,Davis,,random_forest_tuned,classical,42,chronological_80_20,primary,none,15.510817241260083,7.977159470038309,0.0613597216656846,0.950661838200878,"{""n_estimators"": 100, ""max_depth"": 15, ""min_samples_leaf"": 3}"
same_city,Davis,Davis,,gradient_boosting_tuned,classical,42,chronological_80_20,primary,none,15.388292887374236,8.440835071665637,0.0608750237845372,0.9514382318901232,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 3}"
same_city,Davis,Davis,,mlp_tuned,neural_network,42,chronological_80_20,primary,none,15.668278946501337,9.122879804448178,0.0619826292956517,0.9496550176408872,"{""hidden_size"": 32, ""dropout"": 0.0, ""lr"": 0.001}"
same_city,Davis,Davis,,ridge_tuned,classical,123,chronological_80_20,primary,none,16.899488409542517,9.983769659179297,0.0668532088911229,0.9414319561990858,alpha=10.0
same_city,Davis,Davis,,random_forest_tuned,classical,123,chronological_80_20,primary,none,15.537639716037718,7.997128350830554,0.0614658295232617,0.9504910521208396,"{""n_estimators"": 100, ""max_depth"": 15, ""min_samples_leaf"": 3}"
same_city,Davis,Davis,,gradient_boosting_tuned,classical,123,chronological_80_20,primary,none,15.388292887374236,8.440835071665637,0.0608750237845372,0.9514382318901232,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 3}"
same_city,Davis,Davis,,mlp_tuned,neural_network,123,chronological_80_20,primary,none,15.73444455027727,9.162305965804071,0.0622443758540944,0.9492289160079752,"{""hidden_size"": 32, ""dropout"": 0.0, ""lr"": 0.001}"
same_city,Davis,Davis,,ridge_tuned,classical,2026,chronological_80_20,primary,none,16.899488409542517,9.983769659179297,0.0668532088911229,0.9414319561990858,alpha=10.0
