task,city,model,seed,ablation_group,balanced_accuracy,accuracy,macro_precision,macro_recall,macro_f1,notes
generation_regime,Amherst,logistic_regression_balanced_weight,123,full,0.7354851105935207,0.7320613853172957,0.7506422884336467,0.7354851105935207,0.7361643252194913,class_weight=balanced
generation_regime,Amherst,decision_tree_balanced_weight,123,full,0.663533702012992,0.6578183326420572,0.6670883319891031,0.663533702012992,0.6641629597838896,class_weight=balanced
generation_regime,Amherst,random_forest_balanced_weight,123,full,0.7570735669469194,0.7511406055578598,0.7697112845491122,0.7570735669469194,0.7560670118440741,class_weight=balanced
generation_regime,Amherst,logistic_regression_balanced_weight,2026,full,0.7354851105935207,0.7320613853172957,0.7506422884336467,0.7354851105935207,0.7361643252194913,class_weight=balanced
generation_regime,Amherst,decision_tree_balanced_weight,2026,full,0.6550425372730712,0.6495230194939859,0.661505206995806,0.6550425372730712,0.6571272863454437,class_weight=balanced
generation_regime,Amherst,random_forest_balanced_weight,2026,full,0.7550041937404365,0.7486520116134384,0.7677674965044766,0.7550041937404365,0.7537546075701491,class_weight=balanced
sky_condition,Davis,random_forest,42,time_only,0.352218212857672,0.6483516483516484,0.370748308478748,0.352218212857672,0.3437414341072491,
sky_condition,Davis,random_forest,123,time_only,0.35773595631122834,0.6485589881816297,0.3823962219795553,0.35773595631122834,0.35184403072119563,
sky_condition,Davis,random_forest,2026,time_only,0.35907406442989326,0.6469002695417789,0.3823097643097643,0.35907406442989326,0.35414228493423144,
sky_condition,Davis,random_forest,42,weather_only,0.6135141330993629,0.7692307692307693,0.614380959103385,0.6135141330993629,0.6104242258463338,
sky_condition,Davis,random_forest,123,weather_only,0.6116005335070485,0.7679867302508812,0.6103413736380823,0.6116005335070485,0.6074988728291683,
sky_condition,Davis,random_forest,2026,weather_only,0.6134123739182326,0.772133526850508,0.6173945308653846,0.6134123739182326,0.6123269909724132,
sky_condition,Davis,random_forest,42,irradiance_weather,0.7425799636438887,0.8534107402031931,0.7255654342179051,0.7425799636438887,0.7335336062883818,
sky_condition,Davis,random_forest,123,irradiance_weather,0.7426679391071542,0.852166701223305,0.7234241507769058,0.7426679391071542,0.7324572100940344,
sky_condition,Davis,random_forest,2026,irradiance_weather,0.7412009614606254,0.8513373419033796,0.7228804467279145,0.7412009614606254,0.7315070808599197,
